"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
0,0,1,1,1,0,0,0,1,1,0,1,0,-0.69,NA,NA,0.25
0,0,0,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA
0,1,0,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA
0,0,1,1,1,0,0,0,1,0,0,0,0,-0.43,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,0,0,-0.05,NA,1.37,NA
0,0,1,1,1,0,0,0,0,0,0,1,2,-0.32,NA,NA,0.35
0,1,1,1,1,0,0,0,1,1,0,2,0,-0.04,NA,NA,0.49
0,1,1,1,1,0,0,0,1,1,0,1,0,-0.76,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,0,0,NA,NA,NA,NA
0,0,1,0,0,0,0,0,1,0,0,2,2,0.51,0.91,0.98,1.41
0,1,1,1,1,0,0,0,1,1,0,0,0,NA,NA,NA,NA
0,0,1,1,1,1,1,0,1,1,0,1,2,NA,NA,NA,0.6
0,1,1,1,1,0,0,0,0,0,0,0,0,-0.2,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,0,0,-0.29,1.24,NA,NA
0,1,1,1,1,0,0,0,1,0,1,1,2,-0.45,NA,NA,0.25
0,0,1,1,1,0,0,0,0,0,0,0,0,-0.18,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,1,0,-0.6,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,0,2,0,-0.41,NA,NA,NA
0,1,0,1,1,0,0,0,0,0,0,0,0,0.28,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,0,0,NA,NA,NA,NA
0,0,1,1,1,1,0,0,1,0,0,2,2,-0.43,NA,NA,0.22
0,1,1,1,1,0,0,0,1,0,0,1,0,-0.12,NA,NA,NA
0,0,1,1,1,0,0,0,0,1,1,1,0,-1.2,NA,NA,NA
0,0,1,1,1,0,0,0,1,1,0,1,0,-0.37,NA,NA,NA
0,0,1,0,1,0,0,1,1,1,1,1,0,-1.65,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,0,2,0,-0.53,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,0,1,0,-0.86,NA,NA,NA
0,1,1,1,1,0,0,0,0,1,1,1,2,0.12,0.28,0.43,0.51
0,1,1,1,1,0,0,0,0,1,0,0,0,-0.26,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,0,0,0.04,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,0,1,0,-0.38,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,0,1,0,-0.45,NA,NA,NA
0,0,1,1,1,0,0,0,1,0,0,1,2,-0.06,0.23,0.25,0.53
0,1,1,1,1,0,0,0,1,0,1,1,0,-0.05,NA,NA,0.17
0,1,1,1,1,1,0,0,1,1,1,1,0,-0.42,NA,NA,0.16
0,0,1,1,1,0,1,0,1,0,1,1,2,-0.76,NA,NA,0.25
0,1,1,1,1,0,0,0,1,0,1,2,2,NA,NA,0.66,0.48
0,1,1,1,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA
0,1,1,1,1,0,1,0,1,1,1,1,0,-0.78,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,0,0,-0.24,NA,NA,NA
0,0,1,1,1,0,0,0,0,1,0,0,0,0.07,NA,NA,NA
0,1,1,1,1,0,0,0,0,0,0,2,2,0.7,NA,NA,NA
0,0,1,1,0,0,0,0,0,0,0,1,0,-1.1,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,1,0,-0.81,NA,NA,NA
0,0,1,1,1,0,0,0,1,0,0,0,0,-0.14,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,0,0,-0.26,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,0,1,0,-0.1,NA,NA,0.72
0,1,1,1,1,0,0,0,1,1,0,0,0,0.13,NA,NA,NA
0,1,1,0,0,0,0,0,1,1,0,0,0,-1.68,NA,NA,NA
0,1,1,1,1,0,0,0,0,0,0,1,2,-0.05,NA,NA,NA
0,1,1,1,1,0,1,0,1,0,0,1,2,-0.42,NA,NA,0.47
0,1,1,1,1,0,0,0,1,0,0,1,0,-0.9,NA,NA,NA
0,0,1,1,1,0,0,0,0,1,1,1,2,-0.38,NA,NA,-0.01
0,1,1,1,1,0,0,0,0,0,0,0,0,-0.31,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,0,0,-0.26,NA,NA,NA
0,1,1,1,1,1,0,0,1,0,1,1,2,-0.8,-0.03,0.21,NA
0,1,1,1,1,0,1,0,1,0,1,1,2,-0.03,0.14,NA,0.45
0,0,1,1,1,0,0,0,1,1,0,1,0,0.13,NA,NA,0.68
0,1,1,1,1,0,0,0,1,0,0,1,0,0.52,0.32,NA,NA
0,1,1,1,1,0,0,0,1,0,1,1,2,-0.84,NA,NA,0.02
0,1,1,1,1,0,0,0,0,0,0,1,0,-0.03,NA,NA,NA
0,0,1,1,1,0,0,0,1,0,0,1,0,-0.66,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,0,1,0,-0.75,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,1,0,-0.11,NA,NA,0.62
0,1,1,1,1,0,0,0,1,1,0,1,0,-1.27,NA,NA,NA
0,0,1,1,1,0,0,0,1,0,1,1,2,0.29,0.19,0.2,0.58
0,1,1,1,1,0,0,0,1,1,1,1,2,-0.57,NA,-0.26,-0.15
0,1,1,1,1,0,0,0,1,0,1,1,2,-0.52,NA,NA,NA
0,0,1,1,1,0,0,0,0,0,0,1,0,-1.36,NA,NA,NA
